"Prey","PreyGene","WT_UB_WT_BR_SaintScore","WT_UB_WT_BR_log2FoldChange","WT_UB_WT_BR_MG_SaintScore","WT_UB_WT_BR_MG_log2FoldChange","WT_KO_BR_SaintScore","WT_KO_BR_log2FoldChange","WT_KO_BR_MG_SaintScore","WT_KO_BR_MG_log2FoldChange","SE_UB_WT_BR_SaintScore","SE_UB_WT_BR_log2FoldChange","SE_UB_WT_BR_MG_SaintScore","SE_UB_WT_BR_MG_log2FoldChange","SE_KO_BR_SaintScore","SE_KO_BR_log2FoldChange","SE_KO_BR_MG_SaintScore","SE_KO_BR_MG_log2FoldChange"
"P08670","VIM",0,-0.168122758808327,0,-0.0740005814437769,0,0.124328135002202,0,-0.3040061868901,0,-0.136061549576028,0,0.739848102699327,0,1.13093086982645,0,0.356143810225275
"Q9BU76-4","MMTAG2",0,-0.713118852211838,0,-0.168122758808327,0.34,1.96347412397489,0.29,1.20163386116965,0,-1.73696559416621,0,-0.0588936890535686,0.56,2.20163386116965,0.58,2
"O60832-2","DKC1",0,-0.395928676331139,0,0.298658315564515,0,0.16349873228288,0,-0.340075441597622,0,-0.862496476250065,0,0.565597175854225,0,-0.168122758808327,0,0.0285691521967709
"Q9P2E9","RRBP1",0,-0.599462070416271,0,-0.3040061868901,0,0.238786859587116,0,-0.217591435072627,0,0.55581615506164,0,-0.286304185156641,0,0.27500704749987,0.33,1.33913738491959
"O00567","NOP56",0,-0.943416471633633,0,-0.862496476250065,0.3,1.40053792958373,0.02,0.545968369105292,0,-0.535331732996556,0,0,0,0.176322772640463,0,0.250961573533219
"P61254","RPL26",0,-0.577766999316952,0,-0.83650126771712,0,-0.666576266274808,NA,NA,0.33,3.32192809488736,NA,NA,NA,NA,NA,NA
"P22087","FBL",0,-0.104697378666693,0,0.0565835283663675,0.32,1.48542682717024,0,-0.104697378666693,0,-0.434402824145775,0,-0.689659879387849,0,-1.08926733809709,0,-0.666576266274808
"Q9UNF1-2","MAGED2",0,-0.83650126771712,0.24,0,0.2,0.773996325111173,0.29,1.19534759832222,0.99,5.43729433149714,0.32,2.73768676140986,0.09,0.321928094887362,0.02,-1
"Q15361","TTF1",0,0,0,-0.62148837674627,0,0.20163386116965,0,-0.234465253637023,0,-0.666576266274808,0,-0.251538766995964,0,-0.643856189774725,0.01,0.238786859587116
"P55769","SNU13",0,-0.888968687611256,0.25,0.298658315564515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O95602","POLR1A",0,0.356143810225275,0,0.356143810225275,0,0,0,-0.556393348524385,0,0,0,0.137503523749935,0.27,0.863938450423972,0,-0.184424571137427
"Q13428-4","TCOF1",0,-0.535331732996556,0,-0.15200309344505,0,0.565597175854225,0.01,0.321928094887362,0,-0.2688167584278,0,0.238786859587116,0,0.505890929729957,0,0.765534746362977
"Q13428-8","TCOF1",0,-0.434402824145775,0,-0.0588936890535686,0,0.432959407276106,0,0.150559676575381,0,-0.184424571137427,0,0.238786859587116,0,0.545968369105292,0,0.7311832415722
"P05165-2","PCCA",0,-1.05889368905357,0,-2.73696559416621,0,-1.73696559416621,0,-2.25153876699596,0,-2.12029423371771,0,-1.59946207041627,0,-1.68965987938785,0,-0.915935735211525
